Time,Open,High,Low,Close,Volume
03.06.2013 00:00:00.000,1.29944,1.29955,1.29870,1.29904,941.7100
03.06.2013 00:15:00.000,1.29904,1.29964,1.29904,1.29964,869.1000
03.06.2013 00:30:00.000,1.29964,1.30015,1.29960,1.29977,855.0400
03.06.2013 00:45:00.000,1.29977,1.30065,1.29972,1.30043,1067.1800
03.06.2013 01:00:00.000,1.30043,1.30043,1.29911,1.29978,1372.8800
03.06.2013 01:15:00.000,1.29978,1.30026,1.29921,1.29995,973.8800
03.06.2013 01:30:00.000,1.29994,1.30077,1.29962,1.30063,969.1200
03.06.2013 01:45:00.000,1.30063,1.30063,1.29962,1.29994,1360.1400
03.06.2013 02:00:00.000,1.29994,1.30055,1.29984,1.30013,1064.6700
03.06.2013 02:15:00.000,1.30012,1.30075,1.29998,1.30065,906.0100
03.06.2013 02:30:00.000,1.30065,1.30092,1.30043,1.30087,944.2000
03.06.2013 02:45:00.000,1.30087,1.30112,1.30033,1.30054,642.9000
03.06.2013 03:00:00.000,1.30054,1.30084,1.30025,1.30082,540.4000
03.06.2013 03:15:00.000,1.30082,1.30117,1.30062,1.30099,620.2800
03.06.2013 03:30:00.000,1.30099,1.30128,1.30082,1.30119,694.8100
03.06.2013 03:45:00.000,1.30120,1.30156,1.30080,1.30149,882.6700
03.06.2013 04:00:00.000,1.30146,1.30146,1.30074,1.30081,629.0100
03.06.2013 04:15:00.000,1.30084,1.30124,1.30053,1.30117,1094.0900
03.06.2013 04:30:00.000,1.30118,1.30133,1.30071,1.30095,1133.2600
03.06.2013 04:45:00.000,1.30094,1.30137,1.30089,1.30124,876.0800
03.06.2013 05:00:00.000,1.30126,1.30139,1.30090,1.30090,764.5400
03.06.2013 05:15:00.000,1.30090,1.30101,1.30070,1.30090,579.4500
03.06.2013 05:30:00.000,1.30089,1.30166,1.30089,1.30159,990.9600
03.06.2013 05:45:00.000,1.30159,1.30168,1.30090,1.30132,1187.7100
03.06.2013 06:00:00.000,1.30132,1.30190,1.30115,1.30151,1716.5700
03.06.2013 06:15:00.000,1.30151,1.30188,1.30151,1.30162,1408.9200
03.06.2013 06:30:00.000,1.30162,1.30318,1.30145,1.30255,2644.2200
03.06.2013 06:45:00.000,1.30254,1.30284,1.30210,1.30230,1933.9100
03.06.2013 07:00:00.000,1.30233,1.30278,1.30175,1.30226,2864.3000
03.06.2013 07:15:00.000,1.30225,1.30226,1.30120,1.30134,2983.6200
03.06.2013 07:30:00.000,1.30134,1.30188,1.30098,1.30185,2792.4900
03.06.2013 07:45:00.000,1.30188,1.30365,1.30154,1.30290,3511.7500
03.06.2013 08:00:00.000,1.30294,1.30432,1.30252,1.30341,3612.9200
03.06.2013 08:15:00.000,1.30342,1.30371,1.30280,1.30294,2305.6400
03.06.2013 08:30:00.000,1.30295,1.30327,1.30210,1.30213,2416.5100
03.06.2013 08:45:00.000,1.30213,1.30283,1.30162,1.30190,2275.0900
03.06.2013 09:00:00.000,1.30190,1.30242,1.30179,1.30192,2352.6400
03.06.2013 09:15:00.000,1.30192,1.30273,1.30150,1.30262,2310.2000
03.06.2013 09:30:00.000,1.30261,1.30302,1.30190,1.30228,2455.4400
03.06.2013 09:45:00.000,1.30231,1.30279,1.30222,1.30243,1880.4900
03.06.2013 10:00:00.000,1.30243,1.30294,1.30193,1.30284,2352.8400
03.06.2013 10:15:00.000,1.30283,1.30288,1.30178,1.30208,2301.2700
03.06.2013 10:30:00.000,1.30208,1.30211,1.30129,1.30138,1856.0400
03.06.2013 10:45:00.000,1.30139,1.30155,1.30080,1.30132,2339.5800
03.06.2013 11:00:00.000,1.30134,1.30180,1.30133,1.30157,2033.2100
03.06.2013 11:15:00.000,1.30158,1.30167,1.29970,1.29997,2431.3300
03.06.2013 11:30:00.000,1.29996,1.30037,1.29908,1.29954,2614.0800
03.06.2013 11:45:00.000,1.29953,1.30024,1.29929,1.29990,2259.3100
03.06.2013 12:00:00.000,1.29989,1.30137,1.29974,1.30078,2996.1000
03.06.2013 12:15:00.000,1.30077,1.30118,1.30005,1.30023,3444.1500
03.06.2013 12:30:00.000,1.30023,1.30082,1.29990,1.30052,2353.7100
03.06.2013 12:45:00.000,1.30051,1.30072,1.29940,1.29980,2817.8400
03.06.2013 13:00:00.000,1.29982,1.30029,1.29880,1.29910,3017.3800
03.06.2013 13:15:00.000,1.29909,1.29909,1.29726,1.29793,4515.6900
03.06.2013 13:30:00.000,1.29790,1.29790,1.29665,1.29705,4667.7000
