Time,Open,High,Low,Close,Volume,Temp,Day,Month,Year,Hour,Minutes
02.01.2013 00:00:00.000,1.31975,1.32019,1.31914,1.3195700000000001,1079.82,02.01.2013 00:00:00.000,02,01,2013,00,00
02.01.2013 00:15:00.000,1.3195700000000001,1.31966,1.31935,1.3195700000000001,693.14,02.01.2013 00:15:00.000,02,01,2013,00,15
02.01.2013 00:30:00.000,1.31959,1.31996,1.31945,1.31966,796.2,02.01.2013 00:30:00.000,02,01,2013,00,30
02.01.2013 00:45:00.000,1.31966,1.32125,1.3196299999999999,1.32064,1195.25,02.01.2013 00:45:00.000,02,01,2013,00,45
02.01.2013 01:00:00.000,1.32064,1.32131,1.32064,1.3208799999999998,1332.24,02.01.2013 01:00:00.000,02,01,2013,01,00
02.01.2013 01:15:00.000,1.3208799999999998,1.3218,1.32081,1.32176,1416.07,02.01.2013 01:15:00.000,02,01,2013,01,15
02.01.2013 01:30:00.000,1.32176,1.32523,1.32172,1.32521,2614.12,02.01.2013 01:30:00.000,02,01,2013,01,30
02.01.2013 01:45:00.000,1.32522,1.3276700000000001,1.32521,1.32712,3172.45,02.01.2013 01:45:00.000,02,01,2013,01,45
02.01.2013 02:00:00.000,1.32712,1.32861,1.3271,1.32787,2576.56,02.01.2013 02:00:00.000,02,01,2013,02,00
02.01.2013 02:15:00.000,1.32785,1.32863,1.32785,1.32808,1634.1,02.01.2013 02:15:00.000,02,01,2013,02,15
02.01.2013 02:30:00.000,1.32812,1.32991,1.32771,1.32958,1894.11,02.01.2013 02:30:00.000,02,01,2013,02,30
02.01.2013 02:45:00.000,1.32958,1.3299,1.32869,1.32934,1941.46,02.01.2013 02:45:00.000,02,01,2013,02,45
02.01.2013 03:00:00.000,1.32934,1.3295700000000001,1.32901,1.32902,1002.68,02.01.2013 03:00:00.000,02,01,2013,03,00
02.01.2013 03:15:00.000,1.32903,1.3291,1.3275,1.3279,1881.87,02.01.2013 03:15:00.000,02,01,2013,03,15
02.01.2013 03:30:00.000,1.3279,1.32886,1.3279,1.32827,1196.01,02.01.2013 03:30:00.000,02,01,2013,03,30
02.01.2013 03:45:00.000,1.32826,1.3295,1.32819,1.3286,1466.87,02.01.2013 03:45:00.000,02,01,2013,03,45
02.01.2013 04:00:00.000,1.3286,1.32891,1.3261100000000001,1.32714,2009.79,02.01.2013 04:00:00.000,02,01,2013,04,00
02.01.2013 04:15:00.000,1.3271600000000001,1.32779,1.3264799999999999,1.32694,1369.53,02.01.2013 04:15:00.000,02,01,2013,04,15
02.01.2013 04:30:00.000,1.3269600000000001,1.3272700000000002,1.32525,1.3257299999999999,1656.47,02.01.2013 04:30:00.000,02,01,2013,04,30
02.01.2013 04:45:00.000,1.3257299999999999,1.32609,1.32526,1.3260299999999998,1396.72,02.01.2013 04:45:00.000,02,01,2013,04,45
02.01.2013 05:00:00.000,1.3260299999999998,1.3267,1.32556,1.3267,1326.47,02.01.2013 05:00:00.000,02,01,2013,05,00
02.01.2013 05:15:00.000,1.32665,1.32726,1.32568,1.3259,1186.91,02.01.2013 05:15:00.000,02,01,2013,05,15
02.01.2013 05:30:00.000,1.32595,1.32665,1.32589,1.32649,1086.26,02.01.2013 05:30:00.000,02,01,2013,05,30
02.01.2013 05:45:00.000,1.3265,1.32712,1.32649,1.3266200000000001,878.68,02.01.2013 05:45:00.000,02,01,2013,05,45
02.01.2013 06:00:00.000,1.3266200000000001,1.32736,1.32657,1.32713,1060.13,02.01.2013 06:00:00.000,02,01,2013,06,00
02.01.2013 06:15:00.000,1.32713,1.32765,1.32684,1.32738,1802.75,02.01.2013 06:15:00.000,02,01,2013,06,15
02.01.2013 06:30:00.000,1.32738,1.32748,1.32692,1.327,1190.56,02.01.2013 06:30:00.000,02,01,2013,06,30
02.01.2013 06:45:00.000,1.327,1.32744,1.3267799999999998,1.32715,1280.22,02.01.2013 06:45:00.000,02,01,2013,06,45
02.01.2013 07:00:00.000,1.32715,1.32851,1.3269,1.32755,3346.69,02.01.2013 07:00:00.000,02,01,2013,07,00
02.01.2013 07:15:00.000,1.32755,1.32928,1.32739,1.32928,3082.67,02.01.2013 07:15:00.000,02,01,2013,07,15
