Time,Open,High,Low,Close,Volume,Temp,Day,Month,Year,Hour,Minutes
03.06.2013 00:00:00.000,1.29944,1.29955,1.2987,1.29904,941.71,03.06.2013 00:00:00.000,03,06,2013,00,00
03.06.2013 00:15:00.000,1.29904,1.29964,1.29904,1.29964,869.1,03.06.2013 00:15:00.000,03,06,2013,00,15
03.06.2013 00:30:00.000,1.29964,1.30015,1.2996,1.29977,855.04,03.06.2013 00:30:00.000,03,06,2013,00,30
03.06.2013 00:45:00.000,1.29977,1.30065,1.29972,1.30043,1067.18,03.06.2013 00:45:00.000,03,06,2013,00,45
03.06.2013 01:00:00.000,1.30043,1.30043,1.29911,1.29978,1372.88,03.06.2013 01:00:00.000,03,06,2013,01,00
03.06.2013 01:15:00.000,1.29978,1.30026,1.29921,1.29995,973.88,03.06.2013 01:15:00.000,03,06,2013,01,15
03.06.2013 01:30:00.000,1.2999399999999999,1.30077,1.29962,1.30063,969.12,03.06.2013 01:30:00.000,03,06,2013,01,30
03.06.2013 01:45:00.000,1.30063,1.30063,1.29962,1.2999399999999999,1360.14,03.06.2013 01:45:00.000,03,06,2013,01,45
03.06.2013 02:00:00.000,1.2999399999999999,1.30055,1.2998399999999999,1.30013,1064.67,03.06.2013 02:00:00.000,03,06,2013,02,00
03.06.2013 02:15:00.000,1.3001200000000002,1.30075,1.29998,1.30065,906.01,03.06.2013 02:15:00.000,03,06,2013,02,15
03.06.2013 02:30:00.000,1.30065,1.30092,1.30043,1.30087,944.2,03.06.2013 02:30:00.000,03,06,2013,02,30
03.06.2013 02:45:00.000,1.30087,1.30112,1.30033,1.30054,642.9,03.06.2013 02:45:00.000,03,06,2013,02,45
03.06.2013 03:00:00.000,1.30054,1.30084,1.30025,1.30082,540.4,03.06.2013 03:00:00.000,03,06,2013,03,00
03.06.2013 03:15:00.000,1.30082,1.3011700000000002,1.30062,1.3009899999999999,620.28,03.06.2013 03:15:00.000,03,06,2013,03,15
03.06.2013 03:30:00.000,1.3009899999999999,1.30128,1.30082,1.30119,694.81,03.06.2013 03:30:00.000,03,06,2013,03,30
03.06.2013 03:45:00.000,1.3012,1.30156,1.3008,1.30149,882.67,03.06.2013 03:45:00.000,03,06,2013,03,45
03.06.2013 04:00:00.000,1.30146,1.30146,1.30074,1.30081,629.01,03.06.2013 04:00:00.000,03,06,2013,04,00
03.06.2013 04:15:00.000,1.30084,1.30124,1.30053,1.3011700000000002,1094.09,03.06.2013 04:15:00.000,03,06,2013,04,15
03.06.2013 04:30:00.000,1.30118,1.3013299999999999,1.30071,1.30095,1133.26,03.06.2013 04:30:00.000,03,06,2013,04,30
03.06.2013 04:45:00.000,1.30094,1.3013700000000001,1.3008899999999999,1.30124,876.08,03.06.2013 04:45:00.000,03,06,2013,04,45
03.06.2013 05:00:00.000,1.30126,1.30139,1.3009,1.3009,764.54,03.06.2013 05:00:00.000,03,06,2013,05,00
03.06.2013 05:15:00.000,1.3009,1.30101,1.3007,1.3009,579.45,03.06.2013 05:15:00.000,03,06,2013,05,15
